id,handle,type,quantity,cost,razorCost,url
,0,pc,4,7.79,,https://www.ebay.co.uk/itm/363217988363
,0,op,4,8.19,,https://www.ebay.co.uk/itm/383886128802
,0,ps,16,33.28,,https://www.ebay.co.uk/itm/153876959799
,0,op,4,8.41,,https://www.ebay.co.uk/itm/264826380825
,0,p,4,8.45,,https://www.ebay.co.uk/itm/303899346740
,0,p,4,8.49,,https://www.ebay.co.uk/itm/124553182337
,0,op,4,8.49,,https://www.ebay.co.uk/itm/363248459548
,0,pp,8,17,,https://www.ebay.co.uk/itm/152980764207
,0,pp,8,17,,https://www.ebay.co.uk/itm/353269013032
,0,pp,8,17,,https://www.ebay.co.uk/itm/353271391937
,0,pp,8,17,,https://www.ebay.co.uk/itm/353346457318
,0,pp,8,17,,https://www.ebay.co.uk/itm/353407496197
,0,pp,8,17,,https://www.ebay.co.uk/itm/353359574487
,0,pp,4,8.59,,https://www.ebay.co.uk/itm/363248465469
,0,pp,8,17.2,,https://www.ebay.co.uk/itm/274333531141
,0,pp,8,17.2,,https://www.ebay.co.uk/itm/373026966728
,0,pp,8,17.29,,https://www.ebay.co.uk/itm/353067908920
,0,op,16,34.59,,https://www.ebay.co.uk/itm/164232085139
,0,pp,4,8.65,,https://www.ebay.co.uk/itm/363248427242
,0,pp,4,8.79,,https://www.ebay.co.uk/itm/124171752325
,1,pp,9,20,,https://www.ebay.co.uk/itm/324167981570
,0,pp,4,8.95,,https://www.ebay.co.uk/itm/324472713896
,0,pp,8,17.99,,https://www.ebay.co.uk/itm/353271394771
,0,pp,8,17.99,,https://www.ebay.co.uk/itm/353414541370
,0,pp,8,17.99,,https://www.ebay.co.uk/itm/353266715439
,0,pp,4,9,,https://www.ebay.co.uk/itm/223998141895
,0,pp,8,18,,https://www.ebay.co.uk/itm/273116882842
,0,pp,16,37.2,,https://www.ebay.co.uk/itm/223868885900
,0,op,8,18.81,,https://www.amazon.co.uk/dp/B00QPVRP4W
,0,pp,8,18.84,,https://www.ebay.co.uk/itm/293548811651
,0,pp,4,9.49,,https://www.ebay.co.uk/itm/184284066579
,0,pp,4,9.49,,https://www.ebay.co.uk/itm/353063229611
,0,ps,4,9.49,,https://www.ebay.co.uk/itm/353131991991
,0,pp,8,18.99,,https://www.ebay.co.uk/itm/283817123283
,0,pp,16,37.98,,https://www.ebay.co.uk/itm/333563390526
,0,pp,8,18.99,,https://www.ebay.co.uk/itm/324241696904
,0,pp,8,18.99,,https://www.ebay.co.uk/itm/324442717491
,0,pp,4,9.5,,https://www.ebay.co.uk/itm/202982531304
,0,pp,8,19.4,,https://www.ebay.co.uk/itm/124167221909
,0,op,16,38.95,,https://www.ebay.co.uk/itm/153538954636
,0,pp,4,9.75,,https://www.ebay.co.uk/itm/193411270751
,0,pp,8,19.5,,https://www.ebay.co.uk/itm/373011317857
,0,pp,4,9.79,,https://www.ebay.co.uk/itm/193393670992
,0,pp,8,19.9,,https://www.ebay.co.uk/itm/114161933353
,0,pp,8,19.95,,https://www.ebay.co.uk/itm/163750316540
,0,pp,8,19.99,,https://www.ebay.co.uk/itm/184297075335
,0,p,8,19.99,,https://www.amazon.co.uk/dp/B01BKOHN86
,0,pp,4,10,,https://www.ebay.co.uk/itm/324167413861
,0,p,8,20,,https://www.amazon.co.uk/dp/B00R10ZUWU
,0,pp,8,20.09,,https://www.ebay.co.uk/itm/254596042316
,0,pp,8,20.36,,https://www.ebay.co.uk/itm/193465003715
,0,op,16,41.02,,https://www.ebay.co.uk/itm/233829857704
,0,ps,12,30.99,,https://www.ebay.co.uk/itm/182984984493
,0,ps,12,30.99,,https://www.ebay.co.uk/itm/183362659447
,0,pp,16,41.36,,https://www.ebay.co.uk/itm/182432912397
,0,op,8,20.8,,https://www.ebay.co.uk/itm/254229785483
,0,ps,4,10.49,,https://www.ebay.co.uk/itm/142811951275
,0,pp,8,20.99,,https://www.ebay.co.uk/itm/283582024834
,0,pp,16,43.16,,https://www.ebay.co.uk/itm/182639103609
,0,pp,8,21.59,,https://www.ebay.co.uk/itm/164232253368
,0,op,10,26.99,,https://www.amazon.co.uk/dp/B08N12TP1W
,0,p,3,8.2,,https://www.ebay.co.uk/itm/284172705968
,0,ps,3,8.2,,https://www.ebay.co.uk/itm/393127883231
,0,p,12,32.9,,https://www.amazon.co.uk/dp/B08R7N7W4V
,0,pp,8,21.95,,https://www.ebay.co.uk/itm/153541120652
,0,pp,8,21.95,,https://www.ebay.co.uk/itm/153539027374
,0,pp,8,21.99,,https://www.ebay.co.uk/itm/114136613920
,0,pp,8,21.99,,https://www.ebay.co.uk/itm/303060109943
,0,op,8,21.99,,https://www.amazon.co.uk/dp/B008BH9C8A
